Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Labels
80,5.4,3.0,4.5,1.5,Iris-versicolor
81,6.0,3.4,4.5,1.6,Iris-versicolor
82,6.7,3.1,4.7,1.5,Iris-versicolor
83,6.3,2.3,4.4,1.3,Iris-versicolor
84,5.6,3.0,4.1,1.3,Iris-versicolor
85,5.5,2.5,4.0,1.3,Iris-versicolor
86,5.5,2.6,4.4,1.2,Iris-versicolor
87,6.1,3.0,4.6,1.4,Iris-versicolor
88,5.8,2.6,4.0,1.2,Iris-versicolor
89,5.0,2.3,3.3,1.0,Iris-versicolor
90,5.6,2.7,4.2,1.3,Iris-versicolor
91,6.3,3.3,6.0,2.5,Iris-virginica
92,5.8,2.7,5.1,1.9,Iris-virginica
93,7.1,3.0,5.9,2.1,Iris-virginica
94,6.3,2.9,5.6,1.8,Iris-virginica
95,6.5,3.0,5.8,2.2,Iris-virginica
96,7.6,3.0,6.6,2.1,Iris-virginica
97,4.9,2.5,4.5,1.7,Iris-virginica
98,7.3,2.9,6.3,1.8,Iris-virginica
99,6.7,2.5,5.8,1.8,Iris-virginica
100,7.2,3.6,6.1,2.5,Iris-virginica
101,6.5,3.2,5.1,2.0,Iris-virginica
102,6.4,2.7,5.3,1.9,Iris-virginica
103,6.8,3.0,5.5,2.1,Iris-virginica
104,5.7,2.5,5.0,2.0,Iris-virginica
105,5.8,2.8,5.1,2.4,Iris-virginica
106,6.4,3.2,5.3,2.3,Iris-virginica
107,6.5,3.0,5.5,1.8,Iris-virginica
108,7.7,3.8,6.7,2.2,Iris-virginica
109,7.7,2.6,6.9,2.3,Iris-virginica
110,6.0,2.2,5.0,1.5,Iris-virginica
111,6.9,3.2,5.7,2.3,Iris-virginica
112,5.6,2.8,4.9,2.0,Iris-virginica
113,7.7,2.8,6.7,2.0,Iris-virginica
114,6.3,2.7,4.9,1.8,Iris-virginica
115,6.7,3.3,5.7,2.1,Iris-virginica
116,7.2,3.2,6.0,1.8,Iris-virginica
117,6.2,2.8,4.8,1.8,Iris-virginica
118,6.1,3.0,4.9,1.8,Iris-virginica
119,6.4,2.8,5.6,2.1,Iris-virginica
120,7.2,3.0,5.8,1.6,Iris-virginica
121,7.4,2.8,6.1,1.9,Iris-virginica
122,7.9,3.8,6.4,2.0,Iris-virginica
123,6.4,2.8,5.6,2.2,Iris-virginica
124,6.3,2.8,5.1,1.5,Iris-virginica
125,6.1,2.6,5.6,1.4,Iris-virginica
126,7.7,3.0,6.1,2.3,Iris-virginica
127,6.3,3.4,5.6,2.4,Iris-virginica
128,6.4,3.1,5.5,1.8,Iris-virginica
129,6.0,3.0,4.8,1.8,Iris-virginica
130,6.9,3.1,5.4,2.1,Iris-virginica
131,6.7,3.1,5.6,2.4,Iris-virginica
132,6.9,3.1,5.1,2.3,Iris-virginica
133,5.8,2.7,5.1,1.9,Iris-virginica
134,6.8,3.2,5.9,2.3,Iris-virginica
135,6.7,3.3,5.7,2.5,Iris-virginica
